French,English
seulement,only
vieux,old
donner,give
trouve,find
ville,city
pourrais,could
endroit,place
vers,towards
matin,morning
aucune,any
venu,came
mettre,to put
savais,knew
nouvelle,new
revoir,meet again
aucun,no
boulot,job
donné,given
yeux,eyes
vont,will
affaire,case
venez,come
arrêter,Stop
compris,understood
devrait,should
main,hand
eux,them
donne,given
arrivé,come
demande,request
droit,law
parle,speak
bébé,baby
attendez,Wait
sois,be
étaient,were
suite,after
train,train
point,point
aura,will have
compte,account
mari,husband
genre,kind
espère,hope
jouer,to play
